"Fall","Jahr","Wert"
"Inzidenzen",1995,13.4329326923077
"Inzidenzen",1996,14.4475961538462
"Inzidenzen",1997,15.1918269230769
"Inzidenzen",1998,15.9878846153846
"Inzidenzen",1999,16.4507692307692
"Inzidenzen",2000,16.7951048951049
"Inzidenzen",2001,17.2005244755245
"Inzidenzen",2002,17.6621794871795
"Inzidenzen",2003,18.0213017751479
"Inzidenzen",2004,18.0233727810651
"Inzidenzen",2005,18.1331360946746
"Inzidenzen",2006,18.258875739645
"Inzidenzen",2007,18.6806213017751
"Inzidenzen",2008,19.4237637362637
"Inzidenzen",2009,19.3505494505494
"Inzidenzen",2010,18.9284340659341
"Inzidenzen",2011,19.3792307692308
"Inzidenzen",2012,18.3655128205128
