"Geschlecht","Jahr","Wert"
"Männer",1995,9.82517647058824
"Männer",1996,9.66305882352941
"Männer",1997,9.49411764705883
"Männer",1998,9.15588235294117
"Männer",1999,8.86990950226245
"Männer",2000,8.8341628959276
"Männer",2001,8.67556561085973
"Männer",2002,8.63325791855203
"Männer",2003,8.49117647058823
"Männer",2004,8.19253393665159
"Männer",2005,8.07013574660633
"Männer",2006,7.9554298642534
"Männer",2007,7.71809954751131
"Männer",2008,7.64954751131222
"Männer",2009,7.50203619909502
"Männer",2010,7.41900452488687
"Männer",2011,7.59728506787331
"Männer",2012,7.38054298642534

